21|Bebida Refrescante|100|50|true|2.99|250|Energética
22|Cóctel Especial|75|25|true|8.99|350|Con Licor
23|Zumo de Frutas|200|75|false|3.49|500|Natural
24|Agua Mineral|50|20|true|1.0|1000|Agua Pura
25|Bebida Revitalizante|150|60|false|2.75|200|Energética
26|Jugo de Manzana|300|100|true|4.25|750|Natural
27|Cóctel Tropical|80|30|true|9.75|400|Con Licor
28|Agua Natural|250|90|false|0.75|750|Agua Pura
29|Bebida Energizante|120|45|true|3.5|330|Energética
30|Cóctel Exótico|180|70|true|7.95|450|Con Licor
